"grappe","rendement_moyen_grappe","n_parcelles"
419,7698.78787878788,11
420,3093.65151515152,11
421,934.166666666667,10
422,16048.75,13
423,1013.4595959596,11
424,24038.0989583333,16
425,2141.51515151515,11
426,51594.7265625,16
427,16900.6060606061,11
428,20596.4102564103,13
429,1153.14814814815,9
430,223.75,4
431,2500,1
433,416.666666666667,3
434,1600,1
437,61306.25,2
438,1428.41666666667,20
439,8378.11111111111,9
452,17821.875,4
460,900,1
466,350,1
484,72,1
500,12500,1
702,2500,1
703,11272.9166666667,3
704,5397.1875,4
705,1804.46428571429,7
709,712.5,2
710,18150,1
900,1250,1
901,2496.66666666667,4
902,22500,1
903,900,1
904,516.666666666667,2
905,2691.66666666667,2
907,1145.83333333333,3
909,81.25,2
913,374.75,4
914,5112.5,2
915,20526,5
916,391.205357142857,4
917,9681.36904761905,7
919,67.5,2
920,38960,2
922,70583.3333333333,1
923,19758.6428571429,7
924,8712,1
926,9000,2
927,1174.5,4
928,3812.53968253968,9
929,7171.66666666667,9
934,1653.125,1
935,9000,1
936,7656.25,1
939,1096.64930555556,6
940,500,1
941,4378.4375,10
943,16897.2677595628,5
945,1836.47147147147,4
947,11250,1
948,1570.59523809524,5
949,12282.5,4
950,265.5,2
951,4000,1
952,733.333333333333,4
953,6922.5,2
954,5922,5
955,6444.84166666667,10
956,11028.0555555556,9
957,4331.11111111111,6
958,3645,1
959,180,1
962,66.6666666666667,1
963,1699.9,4
964,9995.83333333333,10
965,6626.08974358974,13
966,5141.76111111111,5
968,53.3333333333333,1
969,6187.5,4
970,1179.16666666667,2
972,195.25,3
975,150,1
996,3025,2
